BRANCH_TYPE	BRANCH_CODE	CLIENT_DB	CLIENT_HOST
MAXCAK	3422	pos	M{BRANCH_CODE}_01
MAXCAK	3423	pos	M{BRANCH_CODE}_01
MAXCAK	3424	pos	M{BRANCH_CODE}_01
MAXCAK	3429	pos	M{BRANCH_CODE}_01
MAXCAK	3431	pos	M{BRANCH_CODE}_01
MAXCAK	3432	pos	M{BRANCH_CODE}_01
MAXCAK	3434	pos	M{BRANCH_CODE}_01
MAXCAK	3436	pos	M{BRANCH_CODE}_01
MAXCAK	3440	pos	M{BRANCH_CODE}_01
MAXCAK	3441	pos	M{BRANCH_CODE}_01
MAXCAK	3443	pos	M{BRANCH_CODE}_01
MAXCAK	3448	pos	M{BRANCH_CODE}_01
MAXCAK	3453	pos	M{BRANCH_CODE}_01
MAXCAK	3455	pos	M{BRANCH_CODE}_01
MAXCAK	3456	pos	M{BRANCH_CODE}_01
MAXCAK	3457	pos	M{BRANCH_CODE}_01
MAXCAK	3460	pos	M{BRANCH_CODE}_01
MAXCAK	3462	pos	M{BRANCH_CODE}_01
MAXCAK	3463	pos	M{BRANCH_CODE}_01
MAXCAK	3464	pos	M{BRANCH_CODE}_01
MAXCAK	3465	pos	M{BRANCH_CODE}_01
MAXCAK	3466	pos	M{BRANCH_CODE}_01
MAXCAK	3467	pos	M{BRANCH_CODE}_01
MAXCAK	3469	pos	M{BRANCH_CODE}_01
MAXCAK	3470	pos	M{BRANCH_CODE}_01
MAXICD	2804	pos	M{BRANCH_CODE}
MAXICD	2806	pos	M{BRANCH_CODE}
MAXICD	2830	pos	M{BRANCH_CODE}
MAXICD	2832	pos	M{BRANCH_CODE}
MAXICD	2833	pos	M{BRANCH_CODE}
MAXICD	2834	pos	M{BRANCH_CODE}
MAXICD	2838	pos	M{BRANCH_CODE}
MAXICD	2844	pos	M{BRANCH_CODE}
MAXICD	2845	pos	M{BRANCH_CODE}
MAXICD	2847	pos	M{BRANCH_CODE}
MAXICD	2848	pos	M{BRANCH_CODE}
MAXICD	2850	pos	M{BRANCH_CODE}
MAXICD	2853	pos	M{BRANCH_CODE}
MAXICD	2856	pos	M{BRANCH_CODE}
MAXICD	2858	pos	M{BRANCH_CODE}
MAXICD	2859	pos	M{BRANCH_CODE}
MAXICD	2860	pos	M{BRANCH_CODE}_01
MAXICD	2861	pos	M{BRANCH_CODE}_01
MAXICD	2863	pos	M{BRANCH_CODE}
MAXICD	2865	pos	M{BRANCH_CODE}
MAXICD	2881	pos	M{BRANCH_CODE}
MAXICD	2882	pos	M{BRANCH_CODE}
MAXICD	2886	pos	M{BRANCH_CODE}
MAXICD	2896	pos	M{BRANCH_CODE}
MAXICD	2898	pos2898	m2830_01
MAXTPW	2899	pos	M{BRANCH_CODE}
MAXICD	2901	pos	M{BRANCH_CODE}
MAXICD	2921	pos	M{BRANCH_CODE}
MAXICD	2922	pos	M{BRANCH_CODE}_01
MAXICD	2925	pos	M{BRANCH_CODE}_01
MAXICD	2926	pos	M{BRANCH_CODE}_01
MAXICD	2927	pos	M{BRANCH_CODE}_01
MAXICD	2935	pos	M{BRANCH_CODE}_01
MAXICD	2939	pos	M{BRANCH_CODE}_01
MAXICD	2941	pos	M{BRANCH_CODE}
MAXICD	2942	pos	M{BRANCH_CODE}
MAXICD	2944	pos2944	M2941_03
MAXICD	2949	pos	M{BRANCH_CODE}
MAXICD	2958	pos	M{BRANCH_CODE}
MAXICD	2959	pos2959	m2958_01
MAXICD	2961	pos	M{BRANCH_CODE}
MAXTPW	2963	pos	M{BRANCH_CODE}_01
MAXTPW	2964	pos	M{BRANCH_CODE}_01
MAXTPW	2965	pos	M{BRANCH_CODE}_01
MAXTPW	2966	pos{BRANCH_CODE}	m2899
